Time, Energy
0.000000,0.001442
0.000100,0.012933
0.000200,0.035687
0.000300,0.069256
0.000400,0.113000
0.000500,0.166114
0.000600,0.227664
0.000700,0.296633
0.000800,0.371957
0.000900,0.452565
0.001000,0.537419
0.001100,0.625536
0.001200,0.716020
0.001300,0.808074
0.001400,0.901016
0.001500,0.994284
0.001600,1.087440
0.001700,1.180193
0.001800,1.272408
0.001900,1.364072
0.002000,1.455266
0.002100,1.546073
0.002200,1.636513
0.002300,1.726649
0.002400,1.816640
0.002500,1.906767
0.002600,1.997437
0.002700,2.089110
0.002800,2.182101
0.002900,2.276412
0.003000,2.371808
0.003100,2.467967
0.003200,2.564552
0.003300,2.661240
0.003400,2.757777
0.003500,2.854046
0.003600,2.950023
0.003700,3.045690
0.003800,3.141010
0.003900,3.235933
0.004000,3.330389
0.004100,3.424246
0.004200,3.517344
0.004300,3.609537
0.004400,3.700690
0.004500,3.790670
0.004600,3.879374
0.004700,3.966762
0.004800,4.052840
0.004900,4.137616
0.005000,4.221093
0.005100,4.303273
0.005200,4.384138
0.005300,4.463625
0.005400,4.541632
0.005500,4.618047
0.005600,4.692761
0.005700,4.765674
0.005800,4.836699
0.005900,4.905782
0.006000,4.972896
0.006100,5.038032
0.006200,5.101194
0.006300,5.162390
0.006400,5.221636
0.006500,5.278949
0.006600,5.334340
0.006700,5.387815
0.006800,5.439380
0.006900,5.489046
0.007000,5.536825
0.007100,5.582730
0.007200,5.626776
0.007300,5.668981
0.007400,5.709362
0.007500,5.747936
0.007600,5.784721
0.007700,5.819737
0.007800,5.853008
0.007900,5.884558
0.008000,5.914413
0.008100,5.942599
0.008200,5.969142
0.008300,5.994069
0.008400,6.017413
0.008500,6.039206
0.008600,6.059486
0.008700,6.078287
0.008800,6.095643
0.008900,6.111586
0.009000,6.126149
0.009100,6.139365
0.009200,6.151267
0.009300,6.161885
0.009400,6.171242
0.009500,6.179358
0.009600,6.186251
0.009700,6.191940
0.009800,6.196443
0.009900,6.199777
0.010000,6.201961
0.010100,6.203013
0.010200,6.202956
0.010300,6.201815
0.010400,6.199615
0.010500,6.196382
0.010600,6.192144
0.010700,6.186924
0.010800,6.180747
0.010900,6.173638
0.011000,6.165619
0.011100,6.156714
0.011200,6.146944
0.011300,6.136328
0.011400,6.124883
0.011500,6.112625
0.011600,6.099574
0.011700,6.085750
0.011800,6.071174
0.011900,6.055864
0.012000,6.039843
0.012100,6.023131
0.012200,6.005751
0.012300,5.987727
0.012400,5.969085
0.012500,5.949846
0.012600,5.930030
0.012700,5.909658
0.012800,5.888748
0.012900,5.867323
0.013000,5.845401
0.013100,5.823002
0.013200,5.800137
0.013300,5.776818
0.013400,5.753056
0.013500,5.728863
0.013600,5.704252
0.013700,5.679237
0.013800,5.653837
0.013900,5.628069
0.014000,5.601953
0.014100,5.575505
0.014200,5.548745
0.014300,5.521693
0.014400,5.494367
0.014500,5.466787
0.014600,5.438969
0.014700,5.410932
0.014800,5.382697
0.014900,5.354283
0.015000,5.325714
0.015100,5.297011
0.015200,5.268195
0.015300,5.239288
0.015400,5.210310
0.015500,5.181286
0.015600,5.152239
0.015700,5.123192
0.015800,5.094170
0.015900,5.065196
0.016000,5.036290
0.016100,5.007477
0.016200,4.978783
0.016300,4.950234
0.016400,4.921859
0.016500,4.893691
0.016600,4.865765
0.016700,4.838120
0.016800,4.810797
0.016900,4.783841
0.017000,4.757304
0.017100,4.731234
0.017200,4.705684
0.017300,4.680707
0.017400,4.656358
0.017500,4.632690
0.017600,4.609755
0.017700,4.587602
0.017800,4.566281
0.017900,4.545834
0.018000,4.526295
0.018100,4.507698
0.018200,4.490073
0.018300,4.473449
0.018400,4.457852
0.018500,4.443308
0.018600,4.429839
0.018700,4.417467
0.018800,4.406213
0.018900,4.396100
0.019000,4.387150
0.019100,4.379386
0.019200,4.372829
0.019300,4.367497
0.019400,4.363409
0.019500,4.360577
0.019600,4.359014
0.019700,4.358728
0.019800,4.359726
0.019900,4.362009
0.020000,4.365575
0.020100,4.370420
0.020200,4.376534
0.020300,4.383908
0.020400,4.392525
0.020500,4.402369
0.020600,4.413421
0.020700,4.425656
0.020800,4.439051
0.020900,4.453576
0.021000,4.469203
0.021100,4.485900
0.021200,4.503633
0.021300,4.522365
0.021400,4.542058
0.021500,4.562673
0.021600,4.584166
0.021700,4.606494
0.021800,4.629612
0.021900,4.653473
0.022000,4.678033
0.022100,4.703243
0.022200,4.729055
0.022300,4.755422
0.022400,4.782292
0.022500,4.809615
0.022600,4.837339
0.022700,4.865412
0.022800,4.893783
0.022900,4.922400
0.023000,4.951216
0.023100,4.980185
0.023200,5.009258
0.023300,5.038392
0.023400,5.067546
0.023500,5.096685
0.023600,5.125777
0.023700,5.154794
0.023800,5.183711
0.023900,5.212504
0.024000,5.241150
0.024100,5.269627
0.024200,5.297913
0.024300,5.325987
0.024400,5.353828
0.024500,5.381412
0.024600,5.408719
0.024700,5.435729
0.024800,5.462422
0.024900,5.488779
0.025000,5.514785
0.025100,5.540423
0.025200,5.565681
0.025300,5.590547
0.025400,5.615009
0.025500,5.639058
0.025600,5.662686
0.025700,5.685889
0.025800,5.708660
0.025900,5.730994
0.026000,5.752888
0.026100,5.774337
0.026200,5.795333
0.026300,5.815871
0.026400,5.835942
0.026500,5.855540
0.026600,5.874658
0.026700,5.893289
0.026800,5.911428
0.026900,5.929071
0.027000,5.946213
0.027100,5.962851
0.027200,5.978980
0.027300,5.994599
0.027400,6.009702
0.027500,6.024288
0.027600,6.038351
0.027700,6.051889
0.027800,6.064897
0.027900,6.077370
0.028000,6.089304
0.028100,6.100692
0.028200,6.111529
0.028300,6.121807
0.028400,6.131519
0.028500,6.140655
0.028600,6.149205
0.028700,6.157158
0.028800,6.164503
0.028900,6.171229
0.029000,6.177325
0.029100,6.182781
0.029200,6.187589
0.029300,6.191739
0.029400,6.195224
0.029500,6.198037
0.029600,6.200174
0.029700,6.201630
0.029800,6.202404
0.029900,6.202494
0.030000,6.201899
0.030100,6.200619
0.030200,6.198655
0.030300,6.196008
0.030400,6.192682
0.030500,6.188681
0.030600,6.184010
0.030700,6.178673
0.030800,6.172678
0.030900,6.166033
0.031000,6.158749
0.031100,6.150839
0.031200,6.142312
