Time, Energy
0.000000,-4.980030
0.000100,-4.994453
0.000200,-5.022970
0.000300,-5.064944
0.000400,-5.119463
0.000500,-5.185390
0.000600,-5.261427
0.000700,-5.346179
0.000800,-5.438194
0.000900,-5.536041
0.001000,-5.638384
0.001100,-5.743971
0.001200,-5.851685
0.001300,-5.960587
0.001400,-6.069909
0.001500,-6.179053
0.001600,-6.287603
0.001700,-6.395362
0.001800,-6.502254
0.001900,-6.608617
0.002000,-6.714671
0.002100,-6.820674
0.002200,-6.926607
0.002300,-7.032335
0.002400,-7.137909
0.002500,-7.243531
0.002600,-7.349583
0.002700,-7.456562
0.002800,-7.564811
0.002900,-7.674254
0.003000,-7.784670
0.003100,-7.895649
0.003200,-8.006807
0.003300,-8.117766
0.003400,-8.228298
0.003500,-8.338296
0.003600,-8.447744
0.003700,-8.556639
0.003800,-8.664896
0.003900,-8.772455
0.004000,-8.879205
0.004100,-8.984978
0.004200,-9.089586
0.004300,-9.192905
0.004400,-9.294805
0.004500,-9.395148
0.004600,-9.493817
0.004700,-9.590824
0.004800,-9.686144
0.004900,-9.779786
0.005000,-9.871751
0.005100,-9.962033
0.005200,-10.050631
0.005300,-10.137471
0.005400,-10.222448
0.005500,-10.305445
0.005600,-10.386351
0.005700,-10.465101
0.005800,-10.541576
0.005900,-10.615734
0.006000,-10.687547
0.006100,-10.757033
0.006200,-10.824182
0.006300,-10.889032
0.006400,-10.951579
0.006500,-11.011868
0.006600,-11.069904
0.006700,-11.125713
0.006800,-11.179299
0.006900,-11.230712
0.007000,-11.279949
0.007100,-11.327044
0.007200,-11.372031
0.007300,-11.414923
0.007400,-11.455759
0.007500,-11.494570
0.007600,-11.531383
0.007700,-11.566235
0.007800,-11.599170
0.007900,-11.630209
0.008000,-11.659401
0.008100,-11.686774
0.008200,-11.712370
0.008300,-11.736234
0.008400,-11.758415
0.008500,-11.778961
0.008600,-11.797911
0.008700,-11.815323
0.008800,-11.831234
0.008900,-11.845686
0.009000,-11.858718
0.009100,-11.870358
0.009200,-11.880660
0.009300,-11.889657
0.009400,-11.897364
0.009500,-11.903813
0.009600,-11.909034
0.009700,-11.913046
0.009800,-11.915866
0.009900,-11.917516
0.010000,-11.918021
0.010100,-11.917392
0.010200,-11.915656
0.010300,-11.912839
0.010400,-11.908973
0.010500,-11.904072
0.010600,-11.898168
0.010700,-11.891276
0.010800,-11.883444
0.010900,-11.874679
0.011000,-11.865001
0.011100,-11.854428
0.011200,-11.842989
0.011300,-11.830703
0.011400,-11.817581
0.011500,-11.803645
0.011600,-11.788901
0.011700,-11.773373
0.011800,-11.757072
0.011900,-11.740037
0.012000,-11.722275
0.012100,-11.703806
0.012200,-11.684656
0.012300,-11.664845
0.012400,-11.644411
0.012500,-11.623350
0.012600,-11.601701
0.012700,-11.579467
0.012800,-11.556669
0.012900,-11.533347
0.013000,-11.509485
0.013100,-11.485107
0.013200,-11.460230
0.013300,-11.434863
0.013400,-11.409011
0.013500,-11.382679
0.013600,-11.355877
0.013700,-11.328627
0.013800,-11.300933
0.013900,-11.272812
0.014000,-11.244283
0.014100,-11.215369
0.014200,-11.186060
0.014300,-11.156391
0.014400,-11.126390
0.014500,-11.096069
0.014600,-11.065430
0.014700,-11.034492
0.014800,-11.003273
0.014900,-10.971799
0.015000,-10.940090
0.015100,-10.908158
0.015200,-10.876034
0.015300,-10.843739
0.015400,-10.811295
0.015500,-10.778706
0.015600,-10.746009
0.015700,-10.713222
0.015800,-10.680378
0.015900,-10.647491
0.016000,-10.614573
0.016100,-10.581652
0.016200,-10.548755
0.016300,-10.515918
0.016400,-10.483157
0.016500,-10.450517
0.016600,-10.418010
0.016700,-10.385687
0.016800,-10.353587
0.016900,-10.321778
0.017000,-10.290292
0.017100,-10.259193
0.017200,-10.228507
0.017300,-10.198317
0.017400,-10.168658
0.017500,-10.139580
0.017600,-10.111166
0.017700,-10.083456
0.017800,-10.056499
0.017900,-10.030335
0.018000,-10.005003
0.018100,-9.980547
0.018200,-9.956982
0.018300,-9.934355
0.018400,-9.912678
0.018500,-9.891988
0.018600,-9.872303
0.018700,-9.853654
0.018800,-9.836070
0.018900,-9.819574
0.019000,-9.804201
0.019100,-9.789932
0.019200,-9.776846
0.019300,-9.764945
0.019400,-9.754259
0.019500,-9.744797
0.019600,-9.736556
0.019700,-9.729575
0.019800,-9.723857
0.019900,-9.719400
0.020000,-9.716211
0.020100,-9.714299
0.020200,-9.713654
0.020300,-9.714255
0.020400,-9.716108
0.020500,-9.719198
0.020600,-9.723511
0.020700,-9.729033
0.020800,-9.735728
0.020900,-9.743562
0.021000,-9.752540
0.021100,-9.762618
0.021200,-9.773756
0.021300,-9.785943
0.021400,-9.799127
0.021500,-9.813287
0.021600,-9.828372
0.021700,-9.844338
0.021800,-9.861162
0.021900,-9.878785
0.022000,-9.897174
0.022100,-9.916282
0.022200,-9.936071
0.022300,-9.956470
0.022400,-9.977461
0.022500,-9.998995
0.022600,-10.021007
0.022700,-10.043453
0.022800,-10.066281
0.022900,-10.089448
0.023000,-10.112906
0.023100,-10.136618
0.023200,-10.160526
0.023300,-10.184592
0.023400,-10.208787
0.023500,-10.233062
0.023600,-10.257387
0.023700,-10.281741
0.023800,-10.306107
0.023900,-10.330446
0.024000,-10.354744
0.024100,-10.378969
0.024200,-10.403116
0.024300,-10.427149
0.024400,-10.451050
0.024500,-10.474809
0.024600,-10.498390
0.024700,-10.521774
0.024800,-10.544939
0.024900,-10.567869
0.025000,-10.590548
0.025100,-10.612956
0.025200,-10.635087
0.025300,-10.656924
0.025400,-10.678450
0.025500,-10.699666
0.025600,-10.720550
0.025700,-10.741110
0.025800,-10.761333
0.025900,-10.781202
0.026000,-10.800732
0.026100,-10.819893
0.026200,-10.838688
0.026300,-10.857103
0.026400,-10.875144
0.026500,-10.892784
0.026600,-10.910023
0.026700,-10.926847
0.026800,-10.943262
0.026900,-10.959247
0.027000,-10.974810
0.027100,-10.989925
0.027200,-11.004612
0.027300,-11.018845
0.027400,-11.032635
0.027500,-11.045965
0.027600,-11.058839
0.027700,-11.071246
0.027800,-11.083187
0.027900,-11.094629
0.028000,-11.105596
0.028100,-11.116069
0.028200,-11.126037
0.028300,-11.135498
0.028400,-11.144434
0.028500,-11.152851
0.028600,-11.160708
0.028700,-11.168013
0.028800,-11.174741
0.028900,-11.180894
0.029000,-11.186447
0.029100,-11.191396
0.029200,-11.195723
0.029300,-11.199429
0.029400,-11.202496
0.029500,-11.204920
0.029600,-11.206694
0.029700,-11.207816
0.029800,-11.208274
0.029900,-11.208085
0.030000,-11.207218
0.030100,-11.205685
0.030200,-11.203489
0.030300,-11.200622
0.030400,-11.197101
0.030500,-11.192924
0.030600,-11.188085
0.030700,-11.182586
0.030800,-11.176448
0.030900,-11.169677
0.031000,-11.162278
0.031100,-11.154260
0.031200,-11.145637
0.031300,-11.136414
0.031400,-11.126600
0.031500,-11.116192
0.031600,-11.105190
0.031700,-11.093622
0.031800,-11.081477
0.031900,-11.068761
0.032000,-11.055495
0.032100,-11.041694
0.032200,-11.027359
0.032300,-11.012506
0.032400,-10.997148
0.032500,-10.981309
0.032600,-10.965007
0.032700,-10.948257
0.032800,-10.931096
0.032900,-10.913536
0.033000,-10.895612
0.033100,-10.877344
0.033200,-10.858741
0.033300,-10.839849
0.033400,-10.820683
0.033500,-10.801274
0.033600,-10.781670
0.033700,-10.761884
0.033800,-10.741957
0.033900,-10.721931
0.034000,-10.701849
0.034100,-10.681746
0.034200,-10.661672
0.034300,-10.641680
0.034400,-10.621811
0.034500,-10.602122
0.034600,-10.582653
0.034700,-10.563459
0.034800,-10.544589
0.034900,-10.526091
0.035000,-10.508012
0.035100,-10.490400
0.035200,-10.473289
0.035300,-10.456715
0.035400,-10.440721
0.035500,-10.425345
0.035600,-10.410631
0.035700,-10.396596
0.035800,-10.383284
0.035900,-10.370727
0.036000,-10.358952
0.036100,-10.347970
0.036200,-10.337819
0.036300,-10.328519
0.036400,-10.320090
0.036500,-10.312521
0.036600,-10.305824
0.036700,-10.300018
0.036800,-10.295094
0.036900,-10.291063
0.037000,-10.287909
0.037100,-10.285634
0.037200,-10.284211
0.037300,-10.283647
0.037400,-10.283914
0.037500,-10.285000
0.037600,-10.286869
0.037700,-10.289498
0.037800,-10.292857
0.037900,-10.296907
0.038000,-10.301607
0.038100,-10.306926
0.038200,-10.312818
0.038300,-10.319237
0.038400,-10.326132
0.038500,-10.333458
0.038600,-10.341154
0.038700,-10.349168
0.038800,-10.357435
0.038900,-10.365900
0.039000,-10.374499
0.039100,-10.383160
0.039200,-10.391824
0.039300,-10.400397
0.039400,-10.408831
0.039500,-10.417054
0.039600,-10.425005
0.039700,-10.432614
0.039800,-10.439840
0.039900,-10.446635
0.040000,-10.452929
0.040100,-10.458702
0.040200,-10.463925
0.040300,-10.468555
0.040400,-10.472560
0.040500,-10.475896
0.040600,-10.478525
0.040700,-10.480428
0.040800,-10.481544
0.040900,-10.481869
0.041000,-10.481361
0.041100,-10.479989
0.041200,-10.477749
0.041300,-10.474617
0.041400,-10.470589
0.041500,-10.465668
0.041600,-10.459845
0.041700,-10.453126
0.041800,-10.445511
0.041900,-10.437009
0.042000,-10.427645
0.042100,-10.417424
0.042200,-10.406363
0.042300,-10.394481
0.042400,-10.381793
0.042500,-10.368330
0.042600,-10.354124
0.042700,-10.339206
0.042800,-10.323614
0.042900,-10.307397
0.043000,-10.290588
0.043100,-10.273245
0.043200,-10.255397
0.043300,-10.237096
0.043400,-10.218385
0.043500,-10.199317
0.043600,-10.179932
0.043700,-10.160289
0.043800,-10.140430
0.043900,-10.120406
0.044000,-10.100252
0.044100,-10.080016
0.044200,-10.059755
0.044300,-10.039504
0.044400,-10.019325
0.044500,-9.999264
0.044600,-9.979382
0.044700,-9.959744
0.044800,-9.940371
0.044900,-9.921337
0.045000,-9.902699
0.045100,-9.884497
0.045200,-9.866769
0.045300,-9.849581
0.045400,-9.832971
0.045500,-9.816975
0.045600,-9.801642
0.045700,-9.787018
0.045800,-9.773134
0.045900,-9.760024
0.046000,-9.747727
0.046100,-9.736265
0.046200,-9.725672
0.046300,-9.715972
0.046400,-9.707192
0.046500,-9.699350
0.046600,-9.692464
